Pos	Red	Green	Blue	
499	70	34	9	
500	70	37	23	
501	70	38	33	
502	69	36	34	
503	68	35	41	
504	69	38	54	
505	69	42	59	
506	67	38	51	
507	70	42	52	
508	75	46	54	
509	73	44	63	
510	76	45	76	
511	76	46	83	
512	83	51	80	
513	89	55	85	
514	95	60	92	
515	97	62	94	
516	99	62	89	
517	99	62	86	
518	100	62	89	
519	99	63	95	
520	101	64	99	
521	101	63	102	
522	102	63	101	
523	102	64	99	
524	96	62	96	
525	92	61	89	
526	87	57	81	
527	85	55	79	
528	87	55	86	
529	91	60	93	
530	98	63	92	
531	104	62	93	
532	104	63	95	
533	100	62	95	
534	94	62	95	
535	91	59	94	
536	84	53	97	
537	77	47	95	
538	78	49	99	
539	80	49	98	
540	79	47	95	
541	78	48	93	
542	74	43	88	
543	79	50	87	
544	88	55	89	
545	90	59	93	
546	104	65	98	
547	115	73	104	
548	125	75	101	
549	129	79	102	
550	131	81	104	
551	128	75	100	
552	118	69	97	
553	109	62	99	
554	98	61	110	
555	95	60	112	
556	95	63	106	
557	97	62	101	
558	93	60	98	
559	88	60	101	
560	87	57	106	
561	87	55	108	
562	92	55	106	
563	96	60	110	
564	101	61	113	
565	103	64	112	
566	103	64	106	
567	102	60	99	
568	101	61	96	
569	100	62	99	
570	104	67	104	
571	111	71	108	
572	122	78	107	
573	130	82	109	
574	133	84	117	
575	128	81	121	
576	121	75	120	
577	116	72	120	
578	108	66	117	
579	103	64	114	
580	99	65	116	
581	98	65	115	
582	94	62	112	
583	92	61	112	
584	94	61	116	
585	97	62	118	
586	105	66	119	
587	111	71	121	
588	117	74	120	
589	121	79	124	
590	121	81	127	
591	114	77	127	
592	107	71	127	
593	103	69	124	
594	101	70	124	
595	101	68	124	
596	94	61	122	
597	91	60	124	
598	90	62	126	
599	89	59	126	
600	87	58	125	
601	88	62	124	
602	91	63	120	
603	96	70	123	
604	107	75	123	
605	112	77	125	
606	122	80	128	
607	125	84	124	
608	126	84	118	
609	125	84	109	
610	125	79	101	
611	127	77	98	
612	131	80	102	
613	133	79	104	
614	136	82	106	
615	137	82	107	
616	134	82	105	
617	133	80	101	
618	127	77	99	
619	124	75	100	
620	124	72	104	
621	125	75	108	
622	128	75	110	
623	127	77	109	
624	126	77	103	
625	125	76	102	
626	129	80	105	
627	134	80	107	
628	141	81	108	
629	146	83	107	
630	155	89	105	
631	160	93	104	
632	160	93	105	
633	160	94	106	
634	155	93	107	
635	149	88	105	
636	137	82	105	
637	125	75	107	
638	111	68	110	
639	103	66	114	
640	98	65	117	
641	96	64	118	
642	95	64	119	
643	95	63	118	
644	96	64	120	
645	96	65	124	
646	100	68	127	
647	106	71	123	
648	110	72	116	
649	113	77	118	
650	112	77	125	
651	110	74	129	
652	105	71	128	
653	104	71	127	
654	102	71	124	
655	98	67	123	
656	98	68	129	
657	97	68	128	
658	96	67	121	
659	97	66	120	
660	95	63	125	
661	97	66	127	
662	100	65	122	
663	103	69	122	
664	107	71	123	
665	108	73	125	
666	108	72	127	
667	107	70	124	
668	102	68	122	
669	97	65	125	
670	91	62	130	
671	90	59	129	
672	92	62	125	
673	95	64	112	
674	96	63	105	
675	95	61	97	
676	92	56	96	
677	89	52	91	
678	86	50	90	
679	85	53	86	
680	81	49	79	
681	82	47	79	
682	83	49	86	
683	81	46	83	
684	82	46	73	
685	84	48	67	
686	83	47	65	
687	81	45	65	
688	82	45	67	
689	85	48	69	
690	89	50	67	
691	93	53	69	
692	97	55	72	
693	97	54	71	
694	98	55	69	
695	96	54	70	
696	98	56	75	
697	102	56	75	
698	111	59	68	
699	116	62	66	
700	127	67	66	
701	135	69	69	
702	147	74	70	
703	157	81	76	
704	174	89	77	
705	183	96	81	
706	196	103	87	
707	198	106	88	
708	210	106	85	
709	219	113	93	
710	230	113	93	
711	231	117	96	
712	238	120	96	
713	239	122	96	
714	241	125	101	
715	241	123	102	
716	240	118	101	
717	242	117	99	
718	236	115	94	
719	230	114	90	
720	211	109	90	
721	197	99	82	
722	165	88	76	
723	143	72	63	
724	110	61	62	
725	102	54	63	
726	90	49	67	
727	90	45	61	
728	87	41	49	
729	87	42	45	
730	91	42	50	
731	98	45	58	
732	118	49	62	
733	135	54	66	
734	159	58	66	
735	170	58	66	
736	179	60	65	
737	177	60	65	
738	177	62	66	
739	177	62	65	
740	176	62	65	
741	174	64	68	
742	173	61	68	
743	176	60	68	
744	179	62	68	
745	180	63	67	
746	183	63	65	
747	187	63	64	
748	191	62	64	
749	194	62	59	
750	196	64	53	
751	195	64	50	
752	193	62	51	
753	192	61	57	
754	190	60	65	
755	191	61	68	
756	194	63	64	
757	191	61	59	
758	187	58	60	
759	185	61	63	
760	184	60	62	
761	184	58	61	
762	185	62	67	
763	184	61	64	
764	186	60	61	
765	190	63	59	
766	190	63	56	
767	191	62	52	
768	190	60	48	
769	192	59	48	
770	192	60	51	
771	192	58	47	
772	192	57	41	
773	191	60	40	
774	187	58	41	
775	184	56	45	
776	179	59	50	
777	174	60	47	
778	174	60	39	
779	176	57	33	
780	178	59	38	
781	178	62	46	
782	181	59	46	
783	185	58	49	
784	187	61	49	
785	185	60	50	
786	183	58	54	
787	184	59	56	
788	187	58	51	
789	190	58	49	
790	188	61	53	
791	182	61	52	
792	178	58	48	
793	178	57	45	
794	173	56	45	
795	169	55	44	
796	150	52	43	
797	134	48	40	
798	108	42	36	
799	96	36	28	
800	82	34	27	
801	76	31	18	
802	69	30	11	
803	68	32	13	
804	63	30	20	
805	61	31	22	
806	63	36	23	
807	62	35	20	
808	61	35	21	
809	60	37	22	
810	58	38	15	
811	61	47	26	
812	59	47	38	
813	57	44	46	
814	58	47	51	
815	58	47	50	
816	60	48	47	
817	60	50	46	
818	59	54	46	
819	59	58	48	
820	59	56	44	
821	57	52	38	
822	61	54	39	
823	62	57	44	
824	61	54	47	
825	65	54	47	
826	65	56	45	
827	61	57	41	
828	58	56	41	
829	59	55	44	
830	59	52	45	
831	63	51	46	
832	65	52	47	
833	63	54	49	
834	60	53	49	
835	58	51	49	
836	59	55	51	
837	60	57	55	
838	60	55	55	
839	63	57	55	
840	63	57	51	
841	56	51	47	
842	57	53	51	
843	59	53	53	
844	59	52	50	
845	59	54	57	
846	59	59	72	
847	55	58	74	
848	56	57	66	
849	63	56	57	
850	63	52	47	
851	60	51	40	
852	59	53	41	
853	61	57	45	
854	61	58	45	
855	62	58	45	
856	64	59	45	
857	61	56	48	
858	61	56	58	
859	62	57	66	
860	61	55	62	
861	62	55	59	
862	66	57	58	
863	65	55	52	
864	63	56	51	
865	62	58	51	
866	58	58	51	
867	58	56	49	
868	57	57	44	
869	56	60	45	
870	54	60	46	
871	51	56	43	
872	50	55	47	
873	52	58	56	
874	55	58	64	
875	56	58	61	
876	56	57	52	
877	57	58	48	
878	57	58	49	
879	57	60	56	
880	60	63	64	
881	59	61	63	
882	61	64	60	
883	59	63	59	
884	53	59	59	
885	60	65	59	
886	60	67	51	
887	59	67	51	
888	57	64	57	
889	53	58	60	
890	53	57	57	
891	50	55	53	
892	49	55	58	
893	50	57	61	
894	49	56	60	
895	48	54	56	
896	52	58	56	
897	52	59	54	
898	52	56	53	
899	56	58	55	
900	59	59	58	
901	57	60	58	
902	56	61	58	
903	55	60	61	
904	53	60	64	
905	54	65	67	
906	54	62	62	
907	53	58	58	
908	57	59	56	
909	58	58	56	
910	58	61	64	
911	55	62	63	
912	53	59	52	
913	57	58	51	
914	57	56	55	
915	55	57	56	
916	54	58	53	
917	52	57	51	
918	50	54	48	
919	51	54	49	
920	54	55	47	
921	56	56	50	
922	56	56	56	
923	51	51	52	
924	49	51	50	
925	47	49	45	
926	51	53	45	
927	55	56	48	
928	54	53	46	
929	52	53	49	
930	52	54	53	
931	56	56	51	
932	55	54	44	
933	55	54	40	
934	53	52	41	
935	51	46	35	
936	48	41	28	
937	46	33	12	
938	47	34	8	
939	46	33	9	
940	42	29	8	
941	43	32	17	
942	41	36	24	
943	44	45	37	
944	45	47	39	
945	46	44	40	
946	47	47	44	
947	44	49	46	
948	47	50	51	
949	47	47	50	
950	51	48	51	
951	49	49	47	
952	48	51	44	
953	53	58	46	
954	53	56	47	
955	52	51	45	
956	54	52	43	
957	54	52	40	
958	54	55	38	
959	52	53	39	
960	47	50	41	
961	47	50	46	
962	47	54	51	
963	46	55	53	
964	47	56	59	
965	47	54	58	
966	47	52	51	
967	49	56	48	
968	49	54	39	
969	50	53	40	
970	52	54	48	
971	51	56	60	
972	49	55	68	
973	46	53	62	
974	50	56	46	
975	54	56	46	
976	58	58	64	
977	61	59	75	
978	56	54	70	
979	53	54	67	
980	52	55	66	
981	53	53	61	
982	51	49	56	
983	53	51	54	
984	53	51	47	
985	55	54	45	
986	57	58	50	
987	54	57	50	
988	49	54	48	
989	50	54	49	
990	50	54	50	
991	54	55	52	
992	57	57	54	
993	55	57	53	
994	55	60	54	
995	56	61	55	
996	55	58	48	
997	52	55	43	
998	53	55	43	
999	52	55	41	
1000	55	56	43	
1001	61	60	50	
1002	58	56	54	
1003	54	53	50	
1004	53	54	42	
1005	55	59	43	
1006	56	58	47	
1007	56	54	49	
1008	57	54	54	
1009	54	56	54	
1010	56	59	52	
1011	57	57	51	
1012	56	53	55	
1013	62	57	60	
1014	59	56	53	
1015	58	57	50	
1016	58	60	50	
1017	56	58	50	
1018	58	58	54	
1019	59	58	53	
1020	60	56	44	
1021	61	56	44	
1022	59	53	54	
1023	60	56	60	
1024	57	58	56	
1025	50	54	49	
1026	49	53	46	
1027	55	54	46	
1028	60	56	47	
1029	59	56	48	
1030	58	56	50	
1031	57	54	51	
1032	60	57	55	
1033	64	60	56	
1034	64	62	54	
1035	63	61	55	
1036	57	57	56	
1037	54	56	54	
1038	53	56	48	
1039	54	55	43	
1040	52	52	41	
1041	56	58	48	
1042	58	60	51	
1043	55	55	46	
1044	57	55	46	
1045	58	55	45	
1046	60	56	49	
1047	61	58	51	
1048	60	57	49	
1049	60	56	52	
1050	59	57	58	
1051	58	59	57	
1052	55	59	48	
1053	55	57	42	
1054	55	58	48	
1055	53	56	55	
1056	48	50	59	
1057	46	49	54	
1058	50	52	40	
1059	54	52	31	
1060	54	50	30	
1061	49	47	33	
1062	50	49	40	
1063	49	49	46	
1064	48	50	46	
1065	49	50	47	
1066	50	52	42	
1067	52	55	42	
1068	54	57	45	
1069	56	59	50	
1070	53	55	50	
1071	50	51	52	
1072	52	51	54	
1073	54	51	53	
1074	60	57	51	
1075	59	58	51	
1076	57	56	54	
1077	55	54	50	
1078	51	53	42	
1079	53	57	41	
1080	54	58	43	
1081	56	56	48	
1082	55	53	51	
1083	55	56	53	
1084	55	58	49	
1085	51	54	44	
1086	53	54	42	
1087	54	55	44	
1088	54	52	45	
1089	54	51	44	
1090	54	53	43	
1091	54	54	44	
1092	53	55	49	
1093	52	54	49	
1094	50	53	43	
1095	53	54	43	
1096	52	51	41	
1097	52	48	36	
1098	56	54	38	
1099	56	55	42	
1100	55	52	45	
1101	58	54	48	
1102	62	58	44	
1103	59	56	35	
1104	56	51	28	
1105	60	54	34	
1106	63	56	46	
1107	61	54	49	
1108	61	52	45	
1109	59	51	42	
1110	58	52	45	
1111	59	55	43	
1112	56	54	31	
1113	54	51	26	
1114	53	49	27	
1115	54	48	34	
1116	54	49	39	
1117	55	53	42	
1118	53	51	35	
1119	51	49	31	
1120	55	52	32	
1121	54	51	36	
1122	55	52	44	
1123	54	50	45	
1124	57	48	40	
1125	63	48	37	
1126	63	47	35	
1127	56	44	34	
1128	55	44	37	
1129	59	44	33	
1130	56	41	24	
1131	51	39	18	
1132	49	37	18	
1133	53	36	19	
1134	57	37	22	
1135	57	35	23	
1136	51	28	15	
1137	53	35	19	
1138	59	42	28	
1139	59	36	20	
1140	62	33	13	
1141	63	32	9	
1142	66	36	11	
1143	63	32	5	
1144	62	33	1	
1145	66	38	5	
1146	64	34	7	
1147	65	38	20	
1148	69	44	32	
1149	66	42	33	
1150	71	40	24	
1151	78	39	23	
1152	83	40	31	
1153	83	42	37	
1154	90	44	37	
1155	97	47	37	
1156	109	46	35	
1157	117	46	32	
1158	125	47	34	
1159	128	50	37	
1160	134	52	34	
1161	136	54	39	
1162	140	54	44	
1163	139	54	47	
1164	140	54	47	
1165	141	57	47	
1166	144	57	46	
1167	146	57	43	
1168	152	60	40	
1169	154	63	47	
1170	157	61	56	
1171	160	60	56	
1172	166	61	49	
1173	168	62	45	
1174	169	62	52	
1175	169	63	54	
1176	171	63	48	
1177	172	65	48	
1178	173	64	47	
1179	175	63	49	
1180	176	63	55	
1181	174	62	57	
1182	177	65	56	
1183	180	70	58	
1184	186	69	54	
1185	190	63	45	
1186	194	67	44	
1187	191	69	49	
1188	187	68	57	
1189	186	67	63	
1190	186	65	61	
1191	187	65	59	
1192	187	66	56	
1193	186	68	61	
1194	184	67	64	
1195	185	66	64	
1196	188	67	58	
1197	188	69	55	
1198	189	71	56	
1199	189	70	59	
1200	193	72	63	
1201	197	71	65	
1202	199	70	66	
1203	201	73	68	
1204	201	72	66	
1205	198	70	63	
1206	196	68	63	
1207	194	67	62	
1208	198	66	61	
1209	205	68	61	
1210	213	70	61	
1211	216	71	62	
1212	218	69	64	
1213	215	69	66	
1214	216	69	68	
1215	218	69	72	
1216	221	69	75	
1217	223	71	76	
1218	225	73	73	
1219	224	73	71	
1220	225	73	72	
1221	227	72	70	
1222	229	72	69	
1223	230	72	67	
1224	228	71	65	
1225	226	73	66	
1226	226	73	66	
1227	227	75	71	
1228	231	75	75	
1229	231	72	76	
1230	232	73	79	
1231	228	75	81	
1232	227	77	82	
1233	228	76	83	
1234	226	75	82	
1235	224	75	80	
1236	216	73	75	
1237	211	72	65	
1238	191	72	60	
1239	173	67	55	
1240	141	59	56	
1241	128	56	56	
1242	111	57	53	
1243	102	55	45	
1244	94	60	49	
1245	92	61	50	
1246	88	56	45	
1247	94	60	52	
1248	102	64	59	
1249	104	65	63	
1250	117	73	69	
1251	124	78	74	
1252	148	88	70	
1253	163	104	85	
1254	202	125	98	
1255	224	141	113	
1256	254	156	118	
1257	255	170	131	
1258	255	172	133	
1259	255	173	137	
1260	255	174	136	
1261	255	178	140	
1262	255	179	139	
1263	255	178	138	
1264	255	178	137	
1265	255	182	139	
1266	255	185	142	
1267	255	184	143	
1268	255	185	145	
1269	255	185	145	
1270	255	185	145	
1271	255	188	147	
1272	255	189	150	
1273	255	193	152	
1274	255	193	150	
1275	255	193	148	
1276	255	193	147	
1277	255	190	146	
1278	255	189	147	
1279	255	189	148	
