Pos	Red	Green	Blue	
842	90	96	65	
843	88	96	64	
844	88	97	65	
845	89	98	66	
846	88	96	63	
847	91	97	65	
848	91	98	70	
849	89	97	68	
850	92	101	67	
851	94	104	69	
852	94	106	70	
853	96	110	74	
854	98	109	72	
855	100	107	70	
856	103	110	71	
857	101	109	70	
858	100	109	70	
859	101	110	72	
860	101	110	72	
861	100	112	73	
862	104	117	78	
863	102	115	74	
864	100	112	70	
865	102	114	70	
866	100	114	70	
867	97	111	68	
868	95	109	68	
869	94	108	71	
870	96	110	76	
871	98	110	76	
872	99	109	71	
873	101	111	69	
874	102	112	71	
875	99	109	67	
876	98	106	65	
877	100	109	67	
878	99	112	69	
879	99	112	70	
880	97	110	70	
881	95	107	70	
882	93	104	70	
883	93	103	69	
884	93	104	68	
885	92	101	65	
886	91	99	66	
887	91	98	67	
888	90	97	66	
889	87	96	65	
890	86	96	66	
891	89	97	66	
892	89	97	65	
893	85	96	65	
894	83	95	66	
895	86	100	67	
896	87	99	61	
897	87	96	59	
898	89	96	62	
899	88	97	66	
900	90	99	65	
901	94	103	66	
902	99	107	66	
903	100	110	67	
904	103	112	69	
905	103	113	69	
906	104	113	70	
907	105	113	71	
908	103	109	70	
909	102	108	71	
910	101	110	71	
911	101	111	69	
912	102	114	73	
913	98	111	70	
914	96	110	70	
915	97	111	71	
916	96	107	67	
917	98	107	68	
918	103	109	71	
919	104	109	71	
920	101	109	70	
921	100	113	73	
922	99	112	70	
923	99	108	67	
924	101	110	71	
925	100	108	71	
926	95	103	67	
927	95	102	67	
928	95	105	69	
929	93	103	68	
930	92	102	66	
931	93	104	68	
932	93	103	65	
933	94	100	65	
934	95	100	68	
935	93	102	68	
936	95	104	68	
937	96	103	67	
938	95	100	67	
939	97	100	69	
940	92	95	66	
941	86	87	61	
942	77	80	59	
943	67	70	53	
944	58	65	52	
945	57	64	52	
946	50	61	50	
947	46	58	49	
948	47	58	51	
949	52	59	54	
950	52	59	53	
951	49	56	55	
952	49	58	63	
953	48	56	61	
954	47	55	55	
955	45	55	51	
956	41	52	48	
957	44	53	50	
958	44	50	50	
959	43	49	51	
960	43	47	51	
961	41	47	50	
962	41	50	50	
963	41	53	49	
964	43	53	50	
965	42	50	46	
966	45	51	41	
967	49	58	46	
968	60	69	52	
969	67	79	60	
970	80	89	64	
971	86	95	66	
972	93	99	63	
973	96	105	66	
974	96	107	67	
975	93	108	67	
976	93	109	67	
977	96	110	67	
978	98	109	67	
979	100	109	68	
980	100	110	68	
981	98	107	67	
982	99	108	69	
983	101	107	69	
984	103	110	72	
985	102	113	73	
986	101	111	72	
987	105	110	72	
988	105	108	69	
989	105	111	70	
990	104	113	68	
991	102	110	65	
992	100	109	64	
993	99	109	64	
994	99	110	66	
995	100	108	67	
996	99	107	69	
997	97	107	70	
998	98	108	70	
999	98	108	69	
1000	101	111	72	
1001	104	114	75	
1002	102	111	72	
1003	103	110	71	
1004	101	106	67	
1005	105	108	67	
1006	107	110	70	
1007	100	107	69	
1008	98	108	73	
1009	97	107	71	
1010	96	105	68	
1011	97	104	65	
1012	99	107	69	
1013	99	108	71	
1014	98	106	68	
1015	99	104	67	
1016	97	100	64	
1017	97	101	68	
1018	98	101	71	
1019	98	101	69	
1020	102	106	68	
1021	101	107	67	
1022	97	105	67	
1023	98	105	68	
1024	98	105	68	
1025	98	106	68	
1026	99	106	70	
1027	99	105	69	
1028	101	104	67	
1029	102	104	66	
1030	102	105	66	
1031	103	110	69	
1032	104	112	70	
1033	103	110	68	
1034	103	110	70	
1035	103	111	72	
1036	101	108	69	
1037	101	107	68	
1038	103	107	69	
1039	102	103	65	
1040	99	99	62	
1041	99	102	64	
1042	101	106	66	
1043	100	106	66	
1044	101	108	66	
1045	101	107	68	
1046	97	102	67	
1047	95	102	68	
1048	96	104	70	
1049	97	106	69	
1050	97	104	65	
1051	97	104	63	
1052	100	105	65	
1053	100	105	65	
1054	101	107	69	
1055	100	107	70	
1056	100	109	68	
1057	103	115	71	
1058	100	112	68	
1059	98	108	65	
1060	100	108	68	
1061	103	110	73	
1062	104	111	74	
1063	101	110	70	
1064	103	111	71	
1065	103	109	69	
1066	101	105	67	
1067	100	105	66	
1068	101	108	67	
1069	104	109	68	
1070	103	108	67	
1071	103	110	69	
1072	105	113	72	
1073	105	112	71	
1074	105	111	71	
1075	102	107	71	
1076	102	106	72	
1077	104	106	72	
1078	103	108	70	
1079	103	111	68	
1080	103	112	66	
1081	101	110	66	
1082	98	107	68	
1083	97	104	68	
1084	97	101	65	
1085	102	103	66	
1086	101	101	62	
1087	100	104	62	
1088	104	112	68	
1089	105	112	68	
1090	103	107	66	
1091	103	108	68	
1092	106	112	74	
1093	103	109	73	
1094	101	105	69	
1095	101	105	70	
1096	101	105	69	
1097	101	107	70	
1098	101	108	72	
1099	99	108	71	
1100	100	109	70	
1101	101	106	68	
1102	101	105	69	
1103	103	107	72	
1104	104	108	70	
1105	105	107	68	
1106	103	105	64	
1107	103	107	66	
1108	102	108	71	
1109	100	106	69	
1110	99	105	67	
1111	101	105	65	
1112	102	107	66	
1113	104	109	68	
1114	106	108	68	
1115	106	106	66	
1116	108	107	64	
1117	106	109	63	
1118	105	110	65	
1119	106	113	69	
1120	105	113	69	
1121	102	111	67	
1122	104	112	67	
1123	106	111	67	
1124	107	110	67	
1125	108	112	70	
1126	109	112	70	
1127	107	107	66	
