Pos	Red	Green	Blue	
800	80	66	174	
801	81	65	172	
802	80	63	167	
803	82	63	166	
804	79	63	168	
805	77	62	167	
806	77	62	164	
807	79	61	161	
808	80	60	161	
809	79	59	160	
810	81	60	159	
811	83	62	164	
812	84	64	171	
813	82	63	171	
814	79	64	165	
815	78	66	165	
816	75	64	170	
817	76	60	172	
818	79	60	171	
819	80	60	169	
820	80	60	166	
821	80	61	165	
822	78	61	165	
823	78	63	166	
824	79	64	169	
825	77	63	168	
826	78	63	165	
827	79	62	163	
828	77	61	166	
829	75	61	164	
830	74	61	161	
831	75	62	157	
832	72	59	153	
833	73	58	148	
834	76	58	144	
835	78	55	144	
836	78	56	147	
837	75	57	146	
838	72	55	142	
839	73	55	135	
840	72	54	132	
841	70	52	131	
842	67	51	130	
843	66	50	129	
844	64	51	132	
845	65	53	132	
846	62	51	129	
847	62	50	129	
848	66	54	129	
849	66	56	137	
850	68	56	144	
851	69	55	151	
852	79	62	151	
853	87	68	161	
854	103	74	167	
855	112	80	180	
856	127	83	184	
857	134	86	192	
858	143	91	194	
859	144	95	201	
860	147	96	206	
861	146	97	210	
862	150	99	211	
863	152	101	216	
864	154	101	219	
865	155	103	223	
866	156	105	225	
867	153	102	226	
868	152	100	227	
869	154	101	228	
870	152	99	228	
871	149	98	227	
872	146	99	227	
873	146	101	224	
874	143	99	222	
875	141	97	220	
876	140	98	219	
877	141	99	220	
878	141	97	221	
879	139	95	222	
880	141	96	223	
881	142	99	223	
882	142	99	222	
883	142	98	221	
884	142	99	222	
885	142	100	224	
886	143	101	224	
887	146	101	224	
888	148	101	223	
889	149	102	223	
890	151	104	224	
891	153	104	224	
892	151	101	223	
893	147	100	223	
894	146	99	226	
895	149	99	224	
896	148	98	222	
897	147	99	224	
898	147	100	226	
899	150	101	227	
900	151	101	226	
901	148	99	225	
902	147	100	227	
903	147	100	227	
904	147	100	226	
905	145	100	226	
906	145	99	225	
907	146	100	226	
908	146	101	229	
909	145	100	230	
910	145	100	229	
911	147	101	230	
912	148	99	230	
913	150	99	230	
914	151	100	229	
915	150	100	229	
916	150	102	229	
917	151	105	230	
918	151	105	230	
919	148	102	227	
920	149	103	225	
921	150	104	225	
922	150	103	227	
923	154	105	229	
924	155	105	229	
925	155	104	229	
926	154	103	232	
927	154	102	230	
928	153	102	226	
929	151	102	227	
930	149	102	233	
931	148	101	236	
932	148	102	233	
933	149	103	232	
934	152	101	229	
935	155	101	229	
936	157	103	233	
937	154	103	233	
938	154	105	230	
939	155	106	230	
940	152	104	231	
941	150	103	232	
942	149	101	233	
943	148	100	233	
944	150	100	233	
945	152	102	233	
946	155	103	233	
947	155	104	230	
948	154	104	228	
949	155	105	229	
950	153	104	232	
951	152	103	235	
952	152	103	234	
953	152	102	232	
954	152	103	232	
955	150	102	234	
956	147	101	236	
957	149	104	238	
958	152	104	236	
959	154	102	234	
960	155	102	235	
961	155	104	236	
962	156	106	237	
963	157	105	233	
964	156	103	227	
965	156	104	223	
966	152	103	225	
967	150	102	226	
968	147	100	224	
969	145	96	223	
970	144	97	223	
971	144	97	223	
972	143	98	223	
973	143	98	226	
974	144	99	229	
975	145	98	230	
976	147	100	229	
977	147	104	227	
978	147	101	223	
979	147	99	224	
980	147	99	226	
981	146	101	228	
982	146	101	229	
983	146	98	228	
984	148	99	229	
985	150	100	228	
986	150	100	227	
987	151	102	226	
988	150	103	226	
989	149	102	224	
990	146	100	224	
991	144	98	223	
992	141	97	223	
993	141	98	222	
994	142	100	221	
995	142	101	223	
996	143	100	224	
997	144	100	226	
998	146	100	224	
999	147	100	225	
1000	148	100	229	
1001	149	101	230	
1002	151	101	228	
1003	150	101	225	
1004	149	99	222	
1005	148	100	222	
1006	147	101	225	
1007	148	100	224	
1008	147	99	223	
1009	146	99	224	
1010	145	101	227	
1011	144	99	228	
1012	143	98	227	
1013	142	97	225	
1014	141	98	223	
1015	141	97	222	
1016	137	97	222	
1017	134	95	221	
1018	131	94	221	
1019	133	95	218	
1020	136	95	216	
1021	137	94	216	
1022	138	94	216	
1023	138	96	217	
1024	141	98	218	
1025	142	97	218	
1026	143	96	219	
1027	144	98	221	
1028	145	99	220	
1029	145	99	221	
1030	146	99	223	
1031	146	99	224	
1032	147	100	224	
1033	149	100	225	
1034	150	100	224	
1035	148	100	226	
1036	148	100	227	
1037	149	100	227	
1038	151	101	227	
1039	151	102	229	
1040	149	103	232	
1041	147	102	233	
1042	147	100	231	
1043	149	100	231	
1044	152	102	231	
1045	153	102	229	
1046	152	104	227	
1047	152	104	227	
1048	151	104	230	
1049	152	105	228	
1050	154	105	224	
1051	154	103	223	
1052	151	101	226	
1053	148	102	230	
