Pos	Red	Green	Blue	
651	141	56	55	
652	141	56	56	
653	139	54	54	
654	138	56	52	
655	137	56	52	
656	135	53	49	
657	135	53	51	
658	135	53	51	
659	133	55	55	
660	133	58	61	
661	134	57	59	
662	136	57	54	
663	137	57	49	
664	131	54	50	
665	127	51	45	
666	115	47	40	
667	105	43	31	
668	82	34	26	
669	67	29	16	
670	50	28	9	
671	44	26	0	
672	36	23	0	
673	35	21	0	
674	35	22	2	
675	34	23	6	
676	30	20	3	
677	30	19	0	
678	33	23	0	
679	33	21	0	
680	30	18	0	
681	28	18	0	
682	25	18	1	
683	25	22	7	
684	26	24	11	
685	26	26	21	
686	30	32	33	
687	30	34	44	
688	29	33	46	
689	30	32	48	
690	31	33	45	
691	27	32	42	
692	28	33	45	
693	31	37	53	
694	35	40	58	
695	37	41	63	
696	40	42	62	
697	40	43	65	
698	40	41	69	
699	40	41	71	
700	38	39	65	
701	39	40	61	
702	39	44	58	
703	37	41	56	
704	34	39	60	
705	37	43	64	
706	37	44	64	
707	34	39	58	
708	34	37	49	
709	35	37	52	
710	33	34	60	
711	32	35	66	
712	30	35	63	
713	27	35	62	
714	29	38	66	
715	32	39	61	
716	34	39	55	
717	32	39	51	
718	32	40	51	
719	33	41	55	
720	34	43	59	
721	36	45	65	
722	39	44	67	
723	43	46	67	
724	48	48	66	
725	51	51	68	
726	50	52	71	
727	40	43	67	
728	36	38	68	
729	41	41	65	
730	39	40	57	
731	34	37	50	
732	30	34	46	
733	27	31	41	
734	27	29	37	
735	30	29	35	
736	32	32	38	
737	31	33	42	
738	31	32	46	
739	34	36	54	
740	36	38	60	
741	35	39	65	
742	41	46	72	
743	42	47	72	
744	41	47	68	
745	39	47	67	
746	38	46	68	
747	40	47	67	
748	38	44	66	
749	38	45	63	
750	39	44	57	
751	40	44	52	
752	41	44	53	
753	37	39	49	
754	38	39	50	
755	41	42	54	
756	41	42	55	
757	42	42	58	
758	41	41	56	
759	42	42	59	
760	44	45	65	
761	45	49	71	
762	48	52	70	
763	49	51	70	
764	49	50	68	
765	50	49	69	
766	47	50	72	
767	45	50	76	
768	41	47	77	
769	39	45	73	
770	40	47	67	
771	40	46	64	
772	41	46	70	
773	42	45	71	
774	40	43	68	
775	39	42	66	
776	35	41	63	
777	35	42	64	
778	36	43	65	
779	38	41	67	
780	41	43	72	
781	39	44	75	
782	38	44	73	
783	37	42	68	
784	36	43	66	
785	36	45	66	
786	37	46	67	
787	39	46	68	
788	41	46	65	
789	43	45	66	
790	44	45	73	
791	43	47	75	
792	38	43	70	
793	37	42	70	
794	36	42	73	
795	33	41	70	
796	34	40	65	
797	34	40	58	
798	35	40	56	
799	35	41	57	
800	34	40	61	
801	35	43	68	
802	38	44	69	
803	38	42	70	
804	41	43	69	
805	43	46	73	
806	44	50	76	
807	43	50	77	
808	40	47	76	
809	41	46	77	
810	41	45	79	
811	41	46	78	
812	42	48	80	
813	42	48	79	
814	38	45	72	
815	39	49	72	
816	41	51	72	
817	40	47	67	
818	40	44	66	
819	41	46	71	
820	40	47	77	
821	38	46	78	
822	39	47	74	
823	41	47	74	
824	44	48	79	
825	42	47	80	
826	40	45	80	
827	40	45	83	
828	40	45	83	
829	40	45	81	
830	39	45	79	
831	36	45	77	
832	36	45	76	
833	39	47	77	
834	42	46	76	
835	42	43	74	
836	43	46	74	
837	43	47	75	
838	37	43	75	
839	37	44	72	
840	37	47	68	
841	39	46	72	
842	37	43	82	
843	32	40	82	
844	35	43	77	
845	40	46	74	
846	42	48	76	
847	42	49	79	
848	44	48	77	
849	46	47	77	
850	46	47	76	
851	43	47	75	
852	40	47	77	
853	39	47	73	
854	39	46	69	
855	38	43	59	
856	36	37	53	
857	34	34	44	
858	35	35	44	
859	35	34	37	
860	28	29	29	
861	25	28	23	
862	25	29	21	
863	26	30	23	
864	30	33	28	
865	31	33	40	
866	28	31	48	
867	27	34	54	
868	29	37	52	
869	35	40	50	
870	37	40	47	
871	37	40	50	
872	36	38	53	
873	37	39	59	
874	39	43	62	
875	35	40	64	
876	32	38	64	
877	35	41	66	
878	38	44	71	
879	36	44	72	
880	35	43	72	
881	35	44	76	
882	38	45	81	
883	42	46	81	
884	42	46	78	
885	41	47	80	
886	40	46	82	
887	39	45	80	
888	39	45	77	
889	41	47	79	
890	41	47	82	
891	43	48	84	
892	43	47	84	
893	43	47	79	
894	44	47	73	
895	43	45	67	
896	40	45	69	
897	39	46	72	
898	39	47	73	
899	43	48	81	
900	46	49	90	
901	43	48	94	
902	41	47	88	
903	42	48	84	
904	39	47	85	
905	37	46	81	
906	37	47	78	
907	38	47	76	
908	41	49	75	
909	41	47	76	
910	41	47	78	
911	42	50	85	
912	44	52	90	
913	45	52	92	
914	47	52	88	
915	46	51	82	
916	40	46	81	
917	38	45	75	
918	38	46	73	
919	40	47	72	
920	41	45	75	
921	39	44	75	
922	41	45	73	
923	43	46	74	
924	43	46	77	
925	43	48	79	
926	45	52	81	
927	43	51	81	
928	44	52	86	
929	43	52	89	
930	43	51	89	
931	45	51	89	
932	45	51	87	
933	47	53	88	
934	47	52	88	
935	48	54	85	
936	50	56	81	
937	48	52	76	
938	44	48	77	
939	44	49	79	
940	42	47	78	
941	41	46	79	
942	42	46	83	
943	39	43	79	
944	42	46	75	
945	47	52	80	
946	46	51	86	
947	46	52	91	
948	46	52	91	
949	46	52	91	
950	47	53	91	
951	46	53	91	
952	47	53	92	
953	46	52	91	
954	44	49	88	
955	47	53	88	
956	47	54	87	
957	46	53	84	
958	47	54	84	
959	44	50	79	
960	40	46	74	
961	42	47	73	
962	42	46	73	
963	41	45	73	
964	42	46	75	
965	45	47	76	
966	45	46	74	
967	46	48	73	
968	47	51	71	
969	47	51	74	
970	45	51	83	
971	41	49	83	
972	37	46	73	
973	40	48	71	
974	44	52	78	
975	45	50	79	
976	43	47	78	
977	44	49	80	
978	47	53	80	
979	45	50	81	
980	44	48	83	
981	46	49	82	
982	46	50	78	
983	43	50	76	
984	43	49	72	
985	46	50	76	
986	48	52	80	
987	48	53	81	
988	49	52	81	
989	51	53	83	
990	51	54	84	
991	49	52	84	
992	45	51	82	
993	44	51	80	
994	43	50	79	
995	44	50	78	
996	46	52	82	
997	48	53	82	
998	47	52	80	
999	47	50	78	
1000	48	49	78	
1001	49	49	76	
1002	49	49	74	
1003	48	49	77	
1004	46	48	82	
1005	45	47	83	
1006	45	48	83	
1007	44	48	80	
1008	43	46	74	
1009	45	48	74	
1010	46	50	76	
1011	44	49	80	
1012	44	49	85	
1013	43	49	87	
1014	43	49	83	
1015	46	53	84	
1016	45	51	87	
1017	44	48	89	
1018	42	49	89	
1019	41	51	87	
1020	42	54	83	
1021	45	54	81	
1022	46	53	86	
1023	47	53	86	
1024	47	52	80	
1025	46	50	78	
1026	45	49	81	
1027	46	49	82	
1028	45	49	83	
1029	42	49	83	
1030	41	49	86	
1031	43	48	82	
1032	47	50	80	
1033	48	50	75	
1034	45	46	74	
1035	42	47	76	
1036	40	46	77	
1037	41	46	77	
1038	45	48	75	
1039	45	48	76	
1040	48	50	82	
1041	47	50	85	
1042	48	50	84	
1043	49	53	89	
1044	47	51	88	
1045	47	52	90	
1046	48	54	94	
1047	47	54	90	
1048	48	53	86	
1049	48	52	83	
1050	46	49	83	
1051	45	50	86	
1052	47	53	92	
1053	48	53	91	
1054	47	51	86	
1055	45	50	83	
1056	46	51	86	
